Title,Link,Published Date,Arthur,Category
国内相关性最高品牌 (彭博),https://prophet.cn/?p=472,"Fri, 04 Nov 2016 09:31:18 +0000",Jay Milliken,新闻
全球知名品牌及市场咨询公司Prophet铂慧任命亚洲品牌专家唐锐涛（Tom Doctoroff）为资深合伙人,https://prophet.cn/2017/03/welcome_tomdoctoroff/,"Tue, 28 Mar 2017 09:44:40 +0000",prophet,新闻
为什么中国消费者离不开支付宝、微信和Visa,https://prophet.cn/2017/04/brands-that-matter-most-chinese-consumers/,"Thu, 06 Apr 2017 04:22:12 +0000",Jacqueline Alex Thng,新闻
品牌资产及其价值,https://prophet.cn/2017/04/what-is-brand-equity-and-why-is-it-valuable/,"Wed, 26 Apr 2017 01:57:04 +0000",David Aaker,思维
品牌资产和品牌价值,https://prophet.cn/2017/05/brand-equity-vs-brand-value/,"Thu, 11 May 2017 04:54:55 +0000",David Aaker,思维
7种可以提高忠诚度的客户—品牌关系,https://prophet.cn/2017/05/building-brand-segments-with-high-loyalty/,"Thu, 11 May 2017 06:28:35 +0000",David Aaker,思维
品牌个性如同雪花,https://prophet.cn/2017/05/135-three-models-of-how-a-brand-personality-impacts/,"Thu, 11 May 2017 06:34:55 +0000",David Aaker,思维
成功建立品牌组合战略的10个步骤,https://prophet.cn/2017/05/10-steps-to-a-successful-brand-portfolio-strategy/,"Thu, 11 May 2017 06:41:34 +0000",David Aaker,思维
品牌建设始于品牌愿景,https://prophet.cn/2017/05/it-starts-with-a-brand-vision/,"Thu, 11 May 2017 06:51:32 +0000",David Aaker,思维
品牌偏好和品牌相关性—两种竞争方式,https://prophet.cn/2017/05/brand-preference-vs-brand-relevance/,"Thu, 11 May 2017 07:00:24 +0000",David Aaker,思维
2017虎啸国际传播盛典,https://prophet.cn/2017/05/tigerroar2017/,"Mon, 22 May 2017 03:16:57 +0000",prophet,新闻
品牌故事的秘密,https://prophet.cn/2017/05/the-secret-to-brand-signature-stories/,"Fri, 26 May 2017 03:47:32 +0000",David Aaker,思维
Prophet铂慧被《福布斯》评选为美国最佳管理咨询公司之一,https://prophet.cn/2017/05/newsforbes-recognizes-prophet-as-one-of-americas-best-management-consulting-firms/,"Fri, 26 May 2017 04:11:39 +0000",prophet,新闻
“中国梦”能够提升中国品牌吗？,https://prophet.cn/2017/06/china-dream-lift-chinese-brands/,"Thu, 01 Jun 2017 03:11:57 +0000",Tom Doctoroff,思维
北京为何宣布5月10日为“中国品牌日”,https://prophet.cn/2017/06/chinese-brands-day/,"Thu, 01 Jun 2017 03:25:22 +0000",prophet,新闻
Marketing杂志举办2017 年度代理公司颁奖典礼 - 全球知名品牌及市场顾问公司Prophet荣获两项殊荣,https://prophet.cn/2017/06/marketing_magazine_agency_of_the_year_awards2017/,"Mon, 12 Jun 2017 01:53:02 +0000",prophet,新闻
Prophet铂慧屡获殊荣的理念是如何开发的,https://prophet.cn/2017/06/15_06_17/,"Thu, 15 Jun 2017 03:35:32 +0000",Young Kim,思维
你不可不知的三个品牌营销趋势,https://prophet.cn/2017/07/branding-trends-you-need-to-know/,"Fri, 07 Jul 2017 02:33:35 +0000",David Aaker,思维
从品牌的功能性利益转向自我表达利益,https://prophet.cn/2017/07/from-functional-to-self-expressive-social-and-emotional-benefits/,"Fri, 07 Jul 2017 02:56:27 +0000",David Aaker,思维
营销面临的五大挑战,https://prophet.cn/2017/07/five-marketing-challenges-and-how-to-face-them/,"Fri, 07 Jul 2017 03:03:30 +0000",David Aaker,思维
Prophet铂慧与阿里妈妈携手推动中国数字时代的品牌建设,https://prophet.cn/2017/08/prophet_alimama2017_01/,"Thu, 10 Aug 2017 01:40:05 +0000",prophet,新闻
国泰航空的品牌不是问题，体验才是,https://prophet.cn/2017/08/cathay-pacifics-brand-is-not-the-issue-experience-is/,"Thu, 24 Aug 2017 09:25:33 +0000",prophet,思维
大数据会毁掉你的品牌吗？,https://prophet.cn/2017/08/is-big-data-killing-your-brand/,"Thu, 24 Aug 2017 09:30:48 +0000",prophet,思维
Prophet获选为美国最佳管理顾问公司之一,https://prophet.cn/2016/10/prophet%e8%8e%b7%e9%80%89%e4%b8%ba%e7%be%8e%e5%9b%bd%e6%9c%80%e4%bd%b3%e7%ae%a1%e7%90%86%e9%a1%be%e9%97%ae%e5%85%ac%e5%8f%b8%e4%b9%8b%e4%b8%80-2__trashed/,"Wed, 19 Oct 2016 14:52:31 +0000",Edmond Chiu,新闻
商戶留Y世代客 忠誠計劃要變,https://prophet.cn/2016/08/%e5%95%86%e6%88%b6%e7%95%99y%e4%b8%96%e4%bb%a3%e5%ae%a2-%e5%bf%a0%e8%aa%a0%e8%a8%88%e5%8a%83%e8%a6%81%e8%ae%8a__trashed/,"Thu, 25 Aug 2016 18:53:54 +0000",Jay Milliken,新闻
商戶留Y世代客 忠誠計劃要變,https://prophet.cn/2016/08/%e5%95%86%e6%88%b6%e7%95%99y%e4%b8%96%e4%bb%a3%e5%ae%a2-%e5%bf%a0%e8%aa%a0%e8%a8%88%e5%8a%83%e8%a6%81%e8%ae%8a__trashed-2/,"Thu, 25 Aug 2016 19:13:44 +0000",Jay Milliken,新闻
testing,https://prophet.cn/2017/02/testing__trashed/,"Mon, 13 Feb 2017 09:22:30 +0000",Edmond Chiu,新闻
为什么中国消费者离不开支付宝、微信和Visa,https://prophet.cn/2017/04/%e4%b8%ba%e4%bb%80%e4%b9%88%e4%b8%ad%e5%9b%bd%e6%b6%88%e8%b4%b9%e8%80%85%e7%a6%bb%e4%b8%8d%e5%bc%80%e6%94%af%e4%bb%98%e5%ae%9d%e3%80%81%e5%be%ae%e4%bf%a1%e5%92%8cvisa__trashed/,"Thu, 06 Apr 2017 02:57:50 +0000",Jacqueline Alex Thng,思维
test,https://prophet.cn/2017/04/test__trashed/,"Thu, 06 Apr 2017 03:31:18 +0000",Edmond Chiu,新闻
为什么中国消费者离不开支付宝、微信和Visa,https://prophet.cn/2017/04/%e4%b8%ba%e4%bb%80%e4%b9%88%e4%b8%ad%e5%9b%bd%e6%b6%88%e8%b4%b9%e8%80%85%e7%a6%bb%e4%b8%8d%e5%bc%80%e6%94%af%e4%bb%98%e5%ae%9d%e3%80%81%e5%be%ae%e4%bf%a1%e5%92%8cvisa__trashed-2/,"Thu, 06 Apr 2017 03:44:34 +0000",Jacqueline Alex Thng,新闻
7种可以提高忠诚度的客户—品牌关系,https://prophet.cn/2017/05/__trashed/,"Thu, 11 May 2017 06:12:35 +0000",Miki Cheung,新闻
互联式体验是中国家电品牌的发展契机,https://prophet.cn/2017/08/05-2__trashed/,"Thu, 17 Aug 2017 02:41:51 +0000",Young Kim,思维
中国的私立医院如何实现品牌相关性,https://prophet.cn/2017/08/04-2__trashed/,"Thu, 17 Aug 2017 02:49:38 +0000",Julie Purser,思维
Prophet铂慧开设上海分部着力开发中国市场,https://prophet.cn/2017/10/prophet-opens-new-china-office/,"Fri, 13 Oct 2017 06:03:56 +0000",prophet,新闻
Prophet铂慧再度发布中国品牌相关性指数: 支付宝、微信及Android系统荣膺三强,https://prophet.cn/2017/10/2017-china-brand-relevance-index/,"Fri, 20 Oct 2017 02:01:49 +0000",prophet,新闻
Prophet铂慧再度发布中国品牌相关性指数: 支付宝、微信及Android系统荣膺三强,https://prophet.cn/2017/11/__trashed-2/,"Fri, 03 Nov 2017 02:46:30 +0000",Miki Cheung,新闻
正确管理品牌接触点的五个步骤,https://prophet.cn/2017/11/five-steps-to-getting-brand-touchpoints-right-2/,"Sun, 05 Nov 2017 01:25:21 +0000",David Aaker,思维
品牌发展的必由之路,https://prophet.cn/2017/11/only-way-to-grow-your-brand/,"Sun, 05 Nov 2017 01:34:55 +0000",David Aaker,思维
互联式体验是中国家电品牌的发展契机,https://prophet.cn/2017/11/connected-experiences-chinese-home-appliance/,"Sun, 05 Nov 2017 01:42:35 +0000",Young Kim,思维
中国的私立医院如何实现品牌相关性,https://prophet.cn/2017/11/private-hospital-brand-relevance/,"Sun, 05 Nov 2017 01:58:44 +0000",Julie Purser,思维
Altimeter：2017年13个关键的数字化趋势,https://prophet.cn/2017/11/altimeters-top-13-digital-trends-2017/,"Thu, 09 Nov 2017 05:42:50 +0000",prophet,思维
新产品品牌化：品牌关系谱,https://prophet.cn/2017/11/branding-a-new-offering-the-brand-relationship-spectrum/,"Thu, 09 Nov 2017 06:16:51 +0000",David Aaker,思维
共鸣带来成长：Prophet 2017中国品牌相关性指数榜单发布,https://prophet.cn/2017/11/prophet_2017_china_brand_relevance_index_results/,"Tue, 21 Nov 2017 05:09:15 +0000",Tom Doctoroff,新闻
Prophet铂慧开设上海分部着力开发中国市场,https://prophet.cn/2017/11/__trashed-3/,"Fri, 03 Nov 2017 03:05:03 +0000",Miki Cheung,新闻
正确管理品牌接触点的五个步骤,https://prophet.cn/2017/11/five-steps-to-getting-brand-touchpoints-right__trashed/,"Fri, 03 Nov 2017 03:53:14 +0000",Summer Xia,思维
